Power,H,T,P,t1,p1,t2,p2,t4,p4,m4,m_gas,CLCSO
144.8991,32.12413025,21.55792618,100.8646973,21.5,-0.07,393.7,1.11,27.8789,0.24,1084387,47110,80.83081055
144.2822,32.08906937,21.52635765,100.8651794,21.5,-0.07,393.7,1.11,27.8704,0.23,1051721,47143,80.76533508
144.605,32.23666763,21.47333336,100.8586121,21.5,-0.07,393.7,1.11,27.8267,0.22,1078404,47044,80.7390213
144.4548,32.16352463,21.48823929,100.864624,21.5,-0.07,393.6,1.11,27.8125,0.21,1101976,47176,80.76663208
144.4691,32.41248322,21.49503326,100.8644409,21.4,-0.07,393.6,1.11,27.8525,0.2,1061787,47161,80.80362701
145.138,32.49243164,21.47756767,100.8726196,21.4,-0.07,393.6,1.11,27.8865,0.22,1097427,47194,80.80545044
145.0228,32.5422287,21.43844414,100.8704041,21.4,-0.07,393.7,1.11,27.8477,0.23,1086415,47162,80.78726959
145.1889,32.58236694,21.40254593,100.8740784,21.4,-0.07,393.5,1.11,27.8436,0.22,1099567,47113,80.80762482
144.904,32.3011322,21.38924599,100.8763733,21.3,-0.07,393.5,1.11,27.8417,0.22,1091089,47073,80.76206207
144.927,32.15733719,21.34413338,100.8801819,21.3,-0.07,393.4,1.11,27.8403,0.24,1054853,47114,80.7640152
144.3384,32.36765671,21.31744766,100.8857605,21.3,-0.07,393.4,1.11,27.8883,0.23,1134706,47121,80.80683899
145.0245,32.15139389,21.29419136,100.8828186,21.3,-0.07,393.5,1.11,27.8767,0.24,1102463,47187,80.8321228
145.3376,32.24429321,21.26714516,100.8848999,21.3,-0.07,393.6,1.11,27.8645,0.24,1076472,47244,80.8067627
144.5579,32.14609528,21.25390434,100.8840332,21.3,-0.07,393.6,1.11,27.8769,0.23,1102831,47100,80.73844147
144.196,32.5254364,21.23710442,100.8852478,21.3,-0.07,393.6,1.11,27.9053,0.23,1096041,46773,80.70462799
143.9447,33.30567169,21.23905754,100.8853027,21.3,-0.07,393.4,1.11,27.9313,0.22,1104880,47020,80.70464325
144.8889,32.96826172,21.22213936,100.8873108,21.3,-0.07,393.4,1.11,27.9222,0.26,1083318,47198,80.7301712
144.6046,32.70431519,21.21757889,100.8906372,21.3,-0.07,393.4,1.11,27.9015,0.25,1066053,47084,80.740242
144.6981,33.43367767,21.22184372,100.8895691,21.3,-0.07,393.4,1.11,27.9126,0.26,1149183,47161,80.80031586
145.2717,32.85945892,21.22107697,100.8929932,21.3,-0.07,393.4,1.11,27.9223,0.28,1060212,47076,80.78684235
144.7835,33.27622604,21.21017647,100.8950562,21.3,-0.07,393.3,1.11,27.8982,0.26,1126520,47376,80.71434784
144.4599,33.57984161,21.20015907,100.8973572,21.3,-0.07,393.2,1.11,27.9106,0.27,1102408,47035,80.73386383
144.8368,33.8333168,21.20417786,100.8979797,21.3,-0.07,393.3,1.11,27.9019,0.27,1140405,47112,80.70707703
144.6732,34.53217697,21.19854736,100.8980408,21.3,-0.07,393.2,1.11,27.8878,0.27,1104447,47036,80.69267273
144.8788,34.02580261,21.17472267,100.9023438,21.2,-0.07,393.2,1.11,27.8604,0.28,1054077,47143,80.69979858
144.7273,33.762146,21.14540863,100.9028442,21.1,-0.07,393.2,1.11,27.8996,0.29,1140580,47202,80.7257309
145.2812,34.45098495,21.13637161,100.9057373,21.1,-0.07,393.3,1.11,27.9317,0.29,1108401,47252,80.73503113
144.1254,34.36958313,21.1176033,100.9061218,21,-0.07,393.3,1.11,27.9009,0.3,1034864,47026,80.62294006
144.7075,33.64287949,21.1104126,100.9014587,21,-0.07,393.2,1.11,27.8766,0.3,1090223,47009,80.58653259
144.2054,33.45655441,21.1234436,100.9073181,21,-0.07,393.1,1.11,27.848,0.3,1090594,47158,80.66732025
144.61,33.12213898,21.10552406,100.9034546,21,-0.07,392.9,1.11,27.8815,0.31,1089206,47120,80.65683746
145.0531,32.74869919,21.08082581,100.9013123,21,-0.07,393.1,1.11,27.8929,0.31,1110850,47186,80.75853729
145.1686,32.42321777,21.1035614,100.9041321,21,-0.07,393.1,1.11,27.8939,0.31,1103279,47603,80.79681396
144.8865,32.42326355,21.10326195,100.9097046,21,-0.07,393.2,1.11,27.871,0.31,1112133,46965,80.68317413
144.8089,32.33811569,21.10593987,100.9111816,21,-0.07,393.2,1.11,27.8759,0.3,1057515,47136,80.67743683
144.4511,32.24205399,21.0839901,100.9128967,21,-0.07,393.2,1.11,27.8972,0.3,1122435,47035,80.63770294
144.9183,33.11460114,21.0727005,100.9115295,21,-0.07,393.1,1.11,27.8943,0.29,1068941,47129,80.6841507
145.0707,33.87406921,21.07398224,100.9153564,20.9,-0.07,393.1,1.11,27.9002,0.28,1063355,47146,80.67482758
144.9637,33.74583435,21.0858326,100.9148804,21,-0.07,393,1.11,27.8825,0.28,1116683,47282,80.76558685
144.8761,33.56188583,21.10031319,100.9198608,21,-0.07,393,1.11,27.8786,0.28,1113205,47266,80.73653412
144.6801,33.99381638,21.11618233,100.9182617,21,-0.07,393,1.11,27.8831,0.28,1057642,47031,80.72970581
144.9036,34.06021881,21.11803246,100.9182434,21,-0.07,393,1.11,27.9489,0.29,1085398,47211,80.70709229
144.4739,33.43205643,21.10586357,100.9163269,21,-0.07,392.9,1.11,27.8878,0.29,1102599,47132,80.68222046
144.4781,32.98749924,21.11876297,100.9214844,21,-0.07,392.9,1.11,27.8805,0.29,1140997,47159,80.68097687
145.2921,33.18767929,21.13057899,100.9188354,21,-0.07,393,1.11,27.8651,0.28,1098700,47099,80.68479919
145.1011,33.07163239,21.12945557,100.913269,20.9,-0.07,392.9,1.11,27.8941,0.29,1073597,47157,80.71895599
144.8028,32.96387482,21.13612366,100.9135559,20.9,-0.07,392.9,1.11,27.9041,0.3,1105438,47087,80.64417267
144.2325,32.75714111,21.13809776,100.9135193,20.9,-0.07,393,1.11,27.8886,0.29,1110395,47071,80.6357193
144.3993,32.49831009,21.0925293,100.9132202,20.9,-0.07,392.9,1.11,27.8645,0.28,1083371,47075,80.69154358
145.2521,33.15193558,21.08412552,100.9058167,20.9,-0.07,392.9,1.11,27.8701,0.28,1125312,47077,80.67136383
144.9865,33.90628433,21.07885742,100.9078735,20.9,-0.07,392.9,1.11,27.9328,0.29,1070878,47193,80.72673798
144.4838,34.74024963,21.07489204,100.9066528,20.9,-0.07,392.9,1.11,27.9382,0.29,1071838,47199,80.7122345
145.142,34.50437927,21.0421772,100.9096069,20.9,-0.07,393,1.11,27.9197,0.29,1116755,47284,80.64044952
144.2061,34.21390915,20.98609352,100.9093628,20.9,-0.07,392.9,1.11,27.8827,0.28,1077949,46911,80.61743927
144.5158,33.95081329,20.98825645,100.9072876,20.9,-0.07,392.9,1.11,27.8823,0.28,1077160,47066,80.64100647
144.8094,34.50037766,21.00037575,100.9043884,20.9,-0.07,392.7,1.11,27.8817,0.3,1142880,47180,80.69207764
145.067,34.07368469,20.99506187,100.9084412,20.9,-0.07,392.9,1.11,27.8921,0.29,1135379,47069,80.68070221
145.9777,34.34096527,21.01798439,100.9078247,21.1,-0.07,392.9,1.11,27.9049,0.29,1076783,47357,81.0065155
144.9276,35.70720673,20.95053291,100.9089722,21.1,-0.07,392.9,1.11,27.8832,0.27,1104002,47137,80.67909241
144.8256,36.02183151,20.93182945,100.9029846,21.1,-0.07,392.9,1.11,27.8788,0.27,1080882,47393,80.67273712
144.8934,36.15144348,20.9186573,100.9063171,21.1,-0.07,392.9,1.11,27.9052,0.29,1127540,46954,80.59086609
144.3091,36.2881279,20.92232704,100.9030029,21,-0.07,392.8,1.11,27.9161,0.27,1058741,47026,80.61772919
144.3142,36.53059769,20.8926487,100.9068787,21,-0.07,392.8,1.11,27.9029,0.28,1110991,47092,80.69777679
144.8053,36.42459488,20.90387535,100.9065125,21,-0.07,392.8,1.11,27.9081,0.28,1152704,47199,80.73306274
145.0093,36.20704269,20.91851807,100.9054688,20.9,-0.07,392.7,1.11,27.8809,0.27,1094142,47177,80.70572662
144.4091,35.98588181,20.90584755,100.9092957,21,-0.07,392.8,1.11,27.8838,0.26,1062829,47233,80.64751434
144.0422,35.78549957,20.89582825,100.90578,21,-0.07,392.7,1.11,27.9248,0.24,1115806,47064,80.6612854
144.409,35.7339859,20.90400887,100.8988953,21,-0.07,392.7,1.11,27.905,0.24,1140267,47207,80.71559906
144.9186,35.53474426,20.91159248,100.9018372,21,-0.07,392.8,1.11,27.8801,0.22,1112137,47125,80.69293213
144.7702,35.41007614,20.92496109,100.9006897,21.1,-0.07,392.8,1.11,27.8576,0.23,1123273,47173,80.78224945
144.521,35.27134323,20.94865608,100.9030029,21.1,-0.07,392.9,1.11,27.8902,0.25,1126953,47144,80.65358734
144.8344,34.98851013,20.96850967,100.9019043,21.1,-0.07,392.8,1.11,27.9095,0.24,1078926,47182,80.77603912
144.1431,35.04584503,20.97316933,100.9011047,21.1,-0.07,392.8,1.11,27.9177,0.26,1087713,47196,80.73703766
144.1199,34.89395142,20.97092438,100.8985901,21.1,-0.07,392.8,1.11,27.9017,0.25,1107803,47033,80.63397217
144.7062,34.82497025,20.97751427,100.8975037,21.1,-0.07,392.8,1.11,27.901,0.25,1102146,47199,80.71987152
145.263,34.81967163,20.99670982,100.8958252,21.1,-0.07,392.8,1.11,27.9067,0.26,1084612,47126,80.75990295
144.5694,34.7477951,21.00310516,100.8971252,21.1,-0.07,392.8,1.11,27.9184,0.26,1065582,47186,80.69608307
145.1059,34.6548233,21.03676796,100.8963867,21.1,-0.07,392.9,1.11,27.9138,0.28,1162610,47063,80.66940308
144.0419,34.65267944,21.02134514,100.8985718,21.1,-0.07,392.9,1.11,27.8773,0.27,1088753,47207,80.71738434
144.9774,34.86432648,21.02892876,100.8919739,21.1,-0.07,392.9,1.11,27.891,0.27,1144489,47107,80.70875549
144.4587,35.15726471,21.01726532,100.894989,21.1,-0.07,392.8,1.11,27.8786,0.29,1125257,47175,80.70595551
144.3455,35.39805222,21.02609825,100.8981873,21.1,-0.07,392.8,1.11,27.8978,0.3,1052186,47110,80.72181702
144.9274,35.57720947,21.03861427,100.8938782,21.1,-0.07,392.8,1.11,27.9136,0.3,1081585,47146,80.70990753
144.9996,35.57837296,21.00279045,100.8894531,21.1,-0.07,392.8,1.11,27.8666,0.29,1078602,47143,80.7046051
144.8603,35.62595367,20.98463821,100.8932861,21.1,-0.07,392.8,1.11,27.8573,0.28,1060703,47558,80.70446777
144.3301,35.51801682,20.97150612,100.8911682,21.1,-0.07,392.7,1.11,27.8768,0.27,1139171,46972,80.68162537
145.3648,35.51800919,20.97402382,100.8891846,21.1,-0.07,392.9,1.11,27.8968,0.26,1087325,47103,80.75551605
144.7436,35.98613358,20.98386955,100.8885193,21.1,-0.07,392.9,1.11,27.9194,0.26,1093922,47164,80.71372223
144.19,36.06785965,20.96786118,100.8921814,21.1,-0.07,392.9,1.11,27.8724,0.26,1057556,47134,80.68906403
144.0844,36.11343002,20.98731422,100.8914001,21.1,-0.07,393,1.11,27.868,0.29,1085220,47141,80.69862366
144.4556,35.66753006,20.99246979,100.8879333,21,-0.07,392.8,1.11,27.8555,0.29,1152448,47127,80.67381287
144.6843,35.80104065,21.01896095,100.8880676,21,-0.07,392.7,1.11,27.9028,0.27,1085000,47145,80.59833527
144.5282,36.02347946,20.98652267,100.8890503,21,-0.07,392.7,1.11,27.9362,0.26,1066788,46918,80.71166992
144.5709,35.9726181,21.00369072,100.8906006,21.1,-0.07,392.7,1.11,27.9063,0.28,1095620,47058,80.68080902
144.931,36.04362106,20.99272537,100.8964905,21.1,-0.07,392.7,1.11,27.8475,0.28,1090329,47113,80.70957947
144.8815,36.02149582,21.00573158,100.894873,21.1,-0.07,392.7,1.11,27.887,0.29,1069894,47149,80.68750763
144.6609,36.01699448,21.01199341,100.8925232,21.2,-0.07,392.9,1.11,27.9059,0.29,1101370,47032,80.61392975
144.6084,36.01806259,21.012043,100.8915771,21.2,-0.07,393,1.11,27.8729,0.29,1081043,47136,80.70191956
145.1149,36.01828766,21.00488281,100.8928711,21.3,-0.07,392.9,1.11,27.8566,0.3,1096942,47163,80.74666595
144.1685,36.00285721,21.00713921,100.8921997,21.3,-0.07,393.1,1.11,27.8378,0.31,1141942,46831,80.698349
144.9718,36.02443314,21.00775719,100.8856201,21.3,-0.07,392.9,1.11,27.8557,0.29,1080183,47061,80.69313049
144.6932,35.67012787,21.01025963,100.8914795,21.3,-0.07,392.9,1.11,27.8679,0.3,1069721,47126,80.68863678
144.3957,35.95845795,21.01987267,100.8885742,21.2,-0.07,393,1.11,27.8607,0.29,1104267,47098,80.70385742
144.7472,36.12041092,21.01959038,100.8896484,21.3,-0.07,393,1.11,27.85,0.28,1125038,47144,80.7494812
144.3685,36.00584412,21.00584602,100.8877014,21.2,-0.07,393,1.11,27.8704,0.28,1080739,47041,80.70428467
144.5219,35.84375,21.00625038,100.8886963,21.2,-0.07,393.1,1.11,27.8936,0.27,1103945,47117,80.7435379
144.4328,35.99116898,21.01351166,100.8885437,21.3,-0.07,393.1,1.11,27.8878,0.3,1102972,47176,80.75785828
144.8713,36.17483902,21.02406311,100.8886658,21.3,-0.07,393.1,1.11,27.8819,0.3,1110799,47122,80.69854736
145.0787,36.20235062,21.03530312,100.8866333,21.2,-0.07,393,1.11,27.8478,0.31,1097081,47134,80.8759079
144.2046,36.31528473,21.02921295,100.8871277,21.2,-0.07,392.9,1.11,27.8751,0.3,1073280,47126,80.69073486
144.9308,36.46730804,21.01807594,100.8851074,21.3,-0.07,392.9,1.11,27.8919,0.32,1102080,47151,80.69444275
144.9177,36.33285522,21.02714539,100.8797729,21.3,-0.07,392.9,1.11,27.9103,0.35,1004466,47153,80.72837067
144.5916,36.3855896,21.02279472,100.8788696,21.3,-0.07,393.1,1.11,27.8572,0.37,1098921,47045,80.6945343
144.7267,36.65275955,21.02087975,100.8760071,21.2,-0.07,393.1,1.11,27.8306,0.37,1066775,47063,80.71965027
144.4692,36.65216446,21.0492115,100.8742126,21.2,-0.07,393,1.11,27.8689,0.39,1058970,47122,80.69257355
144.0967,36.71173477,21.05653191,100.8758728,21.2,-0.07,393.1,1.11,27.9101,0.4,1095694,47017,80.65425873
145.1501,36.66143417,21.03642464,100.881311,21.2,-0.07,393,1.11,27.9135,0.4,1115107,47160,80.84763336
144.448,36.69210434,21.01196671,100.8767456,21.2,-0.07,392.8,1.11,27.9238,0.38,1101682,47120,80.75006866
144.4523,36.77192307,20.98575783,100.877533,21.1,-0.07,393,1.11,27.8818,0.35,1059541,47213,80.80253601
144.9722,37.0758667,20.98882866,100.8818176,21.2,-0.07,393,1.11,27.9036,0.32,1064148,47081,80.72454834
144.8115,37.32506943,20.93508911,100.883136,21.2,-0.07,393,1.11,27.9231,0.32,1092908,47034,80.68733215
144.9222,37.69575119,20.91264343,100.8802124,21.2,-0.07,392.9,1.11,27.9547,0.3,1127900,47068,80.64306641
144.087,37.97779083,20.89706993,100.8822144,21.2,-0.07,392.9,1.11,27.9107,0.31,1080113,47022,80.69085693
144.2856,37.9717865,20.85607719,100.8823547,21.2,-0.07,392.9,1.11,27.8418,0.33,1088354,47083,80.71419525
145.0035,38.07923508,20.85076523,100.8804626,21.2,-0.07,392.9,1.11,27.8318,0.32,1059882,47101,80.72199249
144.536,38.30622864,20.87245369,100.8807007,21.2,-0.07,392.9,1.11,27.8945,0.31,1080759,47328,80.71889496
144.6959,38.04452133,20.85773849,100.8806763,21.2,-0.07,392.9,1.11,27.9154,0.29,1077779,46944,80.67975616
144.0145,37.63912582,20.88292313,100.8812073,21.2,-0.07,392.8,1.11,27.8741,0.27,1113152,47071,80.68663025
144.49,37.96047592,20.88904572,100.8798157,21.2,-0.07,393,1.11,27.8705,0.27,1057041,47118,80.68876648
144.9387,37.76741409,20.85258484,100.88396,21.2,-0.07,392.9,1.11,27.897,0.29,1063183,47176,80.74251556
144.6179,37.82450867,20.8553524,100.8790283,21.1,-0.07,392.8,1.11,27.9311,0.3,1118257,47206,80.72932434
144.6665,38.1293869,20.82374382,100.8783875,21.1,-0.07,392.9,1.11,27.9391,0.31,1102450,47123,80.67312622
143.9551,37.55477142,20.82880783,100.8763428,21.1,-0.07,392.7,1.11,27.9054,0.34,1116385,46971,80.6103363
144.8134,37.4514122,20.80535698,100.876123,21.1,-0.07,392.7,1.11,27.8648,0.36,1064923,47090,80.64740753
144.1527,36.7888031,20.8194046,100.8782837,21.1,-0.07,392.8,1.11,27.901,0.36,1101438,47060,80.66544342
144.3317,36.76873016,20.8055954,100.8765137,21.1,-0.07,392.9,1.11,27.917,0.36,1111911,47134,80.70363617
144.3867,37.11704636,20.79601288,100.8733398,21.1,-0.07,392.9,1.11,27.8903,0.36,1132981,47115,80.71752167
144.6518,36.90408325,20.78591728,100.8725708,21,-0.07,392.8,1.11,27.8765,0.36,1087139,47052,80.67525482
144.574,36.91123581,20.78438187,100.8720703,21,-0.07,392.7,1.11,27.8652,0.37,1082699,47115,80.67855072
144.7491,37.21417618,20.77207565,100.8720764,21,-0.07,392.8,1.11,27.8992,0.36,1098683,47030,80.65022278
144.8895,37.68751907,20.77928925,100.8764221,21,-0.07,392.6,1.11,27.926,0.34,1076463,47145,80.65808868
144.9942,38.35493851,20.75537872,100.8721436,21,-0.07,392.7,1.11,27.9677,0.32,1048891,47155,80.66938019
144.1786,38.7612648,20.72084618,100.875354,21,-0.07,392.7,1.11,27.9555,0.3,1106446,47069,80.66184235
144.506,38.8783226,20.73297691,100.8738647,21,-0.07,392.6,1.11,27.9412,0.29,1053132,46917,80.69366455
144.8614,39.05566788,20.7189045,100.8725098,21,-0.07,392.5,1.11,27.9173,0.28,1119192,47352,80.83721924
144.4625,38.95490646,20.69751549,100.8744934,21,-0.07,392.5,1.11,27.9441,0.27,1120089,47141,80.672966
144.1656,38.99867249,20.67198944,100.8716675,21,-0.07,392.4,1.11,27.9524,0.26,1070290,47097,80.63859558
144.2547,39.13346481,20.6965332,100.8706787,21,-0.07,392.5,1.11,27.9142,0.24,1087072,47098,80.65849304
145.341,39.11138535,20.69215202,100.8731995,20.9,-0.07,392.5,1.11,27.8897,0.25,1098421,47174,80.70787048
144.2994,38.19025803,20.69622803,100.8724426,20.9,-0.07,392.5,1.11,27.8732,0.26,1092392,47182,80.74986267
145.1579,37.63738632,20.6973877,100.8707092,21,-0.07,392.4,1.11,27.9301,0.28,1108076,47138,80.69288635
144.062,37.76021194,20.68042374,100.8765259,21,-0.07,392.6,1.11,27.9276,0.26,1094711,47138,80.6191864
144.3874,37.62907791,20.67728806,100.8721313,21.1,-0.07,392.6,1.11,27.937,0.26,1096918,47063,80.6448288
144.1191,37.70077515,20.66922379,100.8749939,21.1,-0.07,392.7,1.11,27.9017,0.24,1089508,47098,80.66078186
144.978,37.70135117,20.67853928,100.8749573,21.2,-0.07,392.9,1.11,27.8781,0.23,1116537,47089,80.72064209
